,City,SO2,CO,NOx
0,Ahmedabad,40.56981582877053,15.735579890492781,40.3980487804878
16,Jorapokhar,26.29334473909324,0.8753207869974337,23.52
23,Talcher,24.481513513513516,1.7195027027027026,31.449405405405408
21,Patna,20.701200215285255,1.503799784714747,43.51421959095802
17,Kochi,17.59598765432099,1.2966666666666666,68.70327160493828
10,Delhi,15.532145345943256,2.014594325535092,58.59043802887009
13,Guwahati,14.653426294820719,0.7355776892430279,44.26426294820717
2,Amaravati,13.9098738170347,0.670546792849632,15.851156677181914
5,Bhopal,12.943217993079585,0.8806920415224914,22.462941176470586
25,Visakhapatnam,12.11669630642955,0.8546648426812585,28.263953488372096
20,Mumbai,11.531129915380786,1.0574564459930313,47.221791936286714
15,Jaipur,11.050475763016157,0.8501885098743268,38.016777378815085
7,Chandigarh,10.159374999999999,0.6313486842105264,15.170000000000002
19,Lucknow,9.924519661523146,2.1152563464410155,22.685719263315082
6,Brajrajnagar,9.654989339019188,1.7165991471215352,26.08200426439232
12,Gurugram,9.39263251935676,1.2506194163192377,28.122668254913638
14,Hyderabad,9.173534396809572,0.6225822532402792,19.69921734795613
9,Coimbatore,8.606217616580311,0.948860103626943,31.23722797927461
18,Kolkata,8.45058968058968,0.8539189189189189,63.31674447174447
3,Amritsar,8.288034398034398,0.7815806715806717,32.777633087633085
8,Chennai,7.900169238427078,1.1067844698855154,17.77280736684918
1,Aizawl,7.378053097345133,0.2836283185840708,12.610353982300886
22,Shillong,7.066967741935485,0.3691935483870968,5.371903225806451
24,Thiruvananthapuram,5.754226618705036,0.9697032374100719,8.719460431654676
4,Bengaluru,5.529895470383275,1.837869586859134,23.67002986560478
11,Ernakulam,3.3316049382716053,1.6096296296296295,24.268641975308643
